group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Duration_1,Duration_2,Occurrence_1,Occurrence_2
1,1,0004,50.0138850319356,49.9861149680644,0.0823126142595976,0.0824175824175821,547,546
1,2,0005,50.2082754790336,49.7917245209664,0.100668151447661,0.100055803571428,449,448
1,3,0006,50.1527353512913,49.8472646487087,0.0718949044585983,0.0713434022257548,628,629
1,4,0007,47.7367397945015,52.2632602054985,0.0866431451612901,0.0948588709677417,496,496
1,5,0008,50.3193557345182,49.6806442654818,0.0879611650485435,0.0868446601941744,515,515
1,6,0009,50.7914468203277,49.2085531796723,0.0851489757914336,0.0826492537313431,537,536
1,7,0010,49.4029436267703,50.5970563732297,0.096058315334773,0.0983801295896325,463,463
1,8,0011,49.0419327964454,50.9580672035546,0.0788392857142854,0.0819196428571427,560,560
1,9,0012,50.5137461816162,49.4862538183838,0.087789575289575,0.0858381502890171,518,519
1,10,0013,47.7367397945015,52.2632602054985,0.0877040816326528,0.0960204081632651,490,490
2,1,0004,49.9861149680644,50.0138850319356,0.0825688073394494,0.0827665441176468,545,544
2,2,0005,50.1527353512913,49.8472646487087,0.101006711409396,0.100616591928251,447,446
2,3,0006,49.7639544570953,50.2360455429047,0.0711111111111107,0.0716719492868459,630,631
2,4,0007,47.7089697306304,52.2910302693696,0.0867676767676765,0.0951010101010098,495,495
2,5,0008,50.2082754790336,49.7917245209664,0.0881091617933721,0.0873781676413252,513,513
2,6,0009,50.5692863093585,49.4307136906415,0.0841497227356744,0.0824074074074072,541,540
2,7,0010,49.4307136906415,50.5692863093585,0.0956989247311826,0.0979032258064513,465,465
2,8,0011,48.9863926687031,51.0136073312969,0.0800362976406531,0.0833484573502721,551,551
2,9,0012,50.5137461816162,49.4862538183838,0.0872840690978884,0.0853448275862067,521,522
2,10,0013,47.8755901138573,52.1244098861427,0.0881390593047032,0.0959611451942739,489,489
2,11,0014,49.2918633712858,50.7081366287142,0.0948183760683758,0.0975427350427349,468,468
2,12,0015,51.0136073312969,48.9863926687031,0.0777072758037223,0.0747457627118641,591,590
2,13,0016,50.2638156067759,49.7361843932241,0.0887254901960782,0.0877941176470586,510,510
2,14,0017,49.9861149680644,50.0138850319356,0.0918367346938773,0.0918877551020404,490,490
2,15,0018,51.4023882254929,48.5976117745071,0.124395161290322,0.117924528301887,372,371
2,16,0019,49.5140238822549,50.4859761177451,0.0833177570093455,0.0851123595505615,535,534
2,17,0020,50.5137461816162,49.4862538183838,0.0874519230769227,0.0856730769230768,520,520
2,18,0021,50.7636767564565,49.2363232435435,0.0921370967741933,0.0893649193548385,496,496
2,19,0022,49.15301305193,50.84698694807,0.0876237623762372,0.0904644268774701,505,506
2,20,0023,48.7086920299917,51.2913079700083,0.0876999999999998,0.0923499999999997,500,500
2,21,0024,50.1805054151625,49.8194945848375,0.0818387681159417,0.0812499999999997,552,552
3,1,0101,50.8192168841988,49.1807831158012,0.0778061224489792,0.0752976190476188,588,588
3,2,0102,49.7917245209664,50.2082754790336,0.0920431211498971,0.0928131416837779,487,487
3,3,0103,49.9583449041933,50.0416550958067,0.0774096385542166,0.0775387263339069,581,581
3,4,0104,49.3751735628992,50.6248264371008,0.0727495908346969,0.0745908346972173,611,611
3,5,0105,50.7636767564565,49.2363232435435,0.0771959459459457,0.0748733108108105,592,592
3,6,0106,50.4026659261316,49.5973340738684,0.0776969178082188,0.0764554794520546,584,584
3,7,0107,50.5137461816162,49.4862538183838,0.103587699316629,0.10125,439,440
3,8,0108,49.8750347125798,50.1249652874202,0.0731270358306186,0.0734934853420193,614,614
3,9,0109,49.2640933074146,50.7359066925854,0.0783568904593636,0.0805555555555552,566,567
3,10,0110,50.5970563732297,49.4029436267703,0.081194295900178,0.0794196428571425,561,560
3,11,0111,49.2918633712858,50.7081366287142,0.0759845890410955,0.0781678082191779,584,584
3,12,0112,50.5692863093585,49.4307136906415,0.0850934579439251,0.0831775700934576,535,535
3,13,0113,49.0419327964454,50.9580672035546,0.0890120967741934,0.0923038229376256,496,497
3,14,0115,48.6809219661205,51.3190780338795,0.0936431623931621,0.0985074626865669,468,469
3,15,0116,50.9302971396834,49.0697028603166,0.0893762183235864,0.0862792968749998,513,512
3,16,0117,50.0416550958067,49.9583449041933,0.0820582877959925,0.081772727272727,549,550
3,17,0118,49.8472646487087,50.1527353512913,0.0750418060200667,0.0756281407035173,598,597
3,18,0119,49.0419327964454,50.9580672035546,0.0844168260038237,0.0877151051625237,523,523
3,19,0120,48.5698417106359,51.4301582893641,0.0918592436974788,0.0970649895178195,476,477
3,20,0121,49.902804776451,50.097195223549,0.0796542553191487,0.079964539007092,564,564
3,21,0122,49.2640933074146,50.7359066925854,0.0852884615384615,0.0878365384615382,520,520
