group,subject,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6
1,1,16.1599333610995,11.3702623906706,19.4918783840067,12.9529362765514,19.533527696793,20.4914618908788,0.0429203539823009,0.0403846153846154,0.0469879518072289,0.0424863387978142,0.0492647058823529,0.0473076923076923,226,169,249,183,238,260
1,2,15.9933361099542,11.2869637650979,15.2852977925864,15.7434402332362,24.9062890462307,16.7846730528946,0.0521739130434783,0.0448675496688742,0.0495945945945946,0.0527932960893855,0.0652838427947598,0.0533068783068783,184,151,185,179,229,189
1,3,17.1595168679717,8.99625156184923,17.7426072469804,18.1591003748438,18.5339441899209,19.408579758434,0.0488151658767772,0.0412213740458015,0.0522058823529412,0.0592391304347826,0.0561868686868687,0.0549528301886792,211,131,204,184,198,212
1,4,14.5772594752187,12.3281965847564,17.1178675551853,15.4102457309454,20.8663057059559,19.7001249479384,0.0455729166666667,0.045679012345679,0.049878640776699,0.0474358974358974,0.0582558139534884,0.0525555555555555,192,162,206,195,215,225
1,5,16.4098292378176,12.411495210329,17.3677634319034,14.2440649729279,18.4922948771345,21.0745522698875,0.0464622641509434,0.0418539325842696,0.0471719457013574,0.0425373134328358,0.0430232558139535,0.0508032128514056,212,178,221,201,258,249
1,6,14.5356101624323,13.1611828404831,19.3252811328613,14.9521032902957,17.0345689296127,20.9912536443149,0.0425609756097561,0.0446327683615819,0.0502164502164502,0.0568037974683544,0.046689497716895,0.0520661157024793,205,177,231,158,219,242
1,7,15.0354019158684,14.743856726364,15.9100374843815,15.4102457309454,17.3677634319034,21.5326947105373,0.0462820512820513,0.0574675324675325,0.0521857923497268,0.0616666666666667,0.0537371134020618,0.0579596412556054,195,154,183,150,194,223
1,8,17.5343606830487,11.4535610162432,14.493960849646,14.618908788005,23.5735110370679,18.3256976259892,0.0485023041474654,0.04296875,0.0443877551020408,0.0452319587628866,0.0554901960784313,0.0472103004291845,217,160,196,194,255,233
1,9,18.0758017492711,10.2457309454394,18.1174510620575,14.369012911287,18.2007496876302,20.9912536443149,0.0455882352941176,0.0349431818181818,0.0442073170731707,0.0461229946524064,0.0423449612403101,0.0498023715415019,238,176,246,187,258,253
1,10,14.9104539775094,14.9521032902957,14.7022074135777,13.5360266555602,17.9092044981258,23.9900041649313,0.0449748743718593,0.0442118226600985,0.0457253886010363,0.0434491978609625,0.0477777777777778,0.06,199,203,193,187,225,240
1,11,13.5776759683465,12.4531445231154,14.7855060391504,14.9521032902957,22.240733027905,21.990837151187,0.0393719806763285,0.0437134502923976,0.0424641148325359,0.0462628865979381,0.0490808823529411,0.050381679389313,207,171,209,194,272,262
1,12,15.2019991670137,12.411495210329,18.7838400666389,15.9100374843815,19.158683881716,18.5339441899209,0.0506944444444444,0.0433139534883721,0.0519585253456221,0.0527624309392265,0.0563725490196078,0.0498878923766816,180,172,217,181,204,223
1,13,18.9504373177843,12.5780924614744,16.3265306122449,14.2024156601416,20.2415660141608,17.7009579341941,0.0490301724137931,0.0452095808383233,0.0485148514851485,0.0481638418079096,0.0575829383886256,0.0472222222222222,232,167,202,177,211,225
1,14,14.5772594752187,12.9112869637651,17.2428154935444,12.7863390254061,20.6164098292378,21.865889212828,0.0406976744186046,0.0381773399014778,0.0438559322033898,0.0414864864864865,0.0496987951807229,0.05126953125,215,203,236,185,249,256
1,15,18.4506455643482,7.74677217825906,19.408579758434,14.743856726364,20.6997084548105,18.9504373177843,0.0512731481481481,0.0381147540983607,0.0579601990049751,0.0488950276243094,0.0547356828193832,0.0475941422594142,216,122,201,181,227,239
1,16,16.6597251145356,9.91253644314869,16.5764264889629,13.9525197834236,23.0320699708455,19.8667221990837,0.0523560209424084,0.04375,0.0483009708737864,0.048132183908046,0.0598484848484848,0.0552083333333333,191,136,206,174,231,216
1,17,14.7022074135777,17.0345689296127,12.3281965847564,10.079133694294,18.2423990004165,27.6134943773428,0.0466931216931217,0.0597953216374269,0.0432748538011696,0.0423076923076923,0.0555837563451777,0.0668346774193548,189,171,171,143,197,248
1,18,12.2448979591837,20.4498125780925,13.4943773427738,10.6622240733028,14.1607663473553,28.987921699292,0.0453703703703704,0.0646052631578947,0.0490909090909091,0.0432432432432432,0.0438144329896907,0.0852941176470588,162,190,165,148,194,204
