Group,Subjects,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Time_coverage_7,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Duration_7,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6,Occurrence_7
3,16,11.2571745972968,21.1072023699315,10.3499351971857,17.6263654878726,5.25828550268469,24.0696167376412,10.3129050175893,0.0243589743589743,0.0320945945945946,0.0230041152263374,0.0268926553672316,0.0196403872752421,0.0342827004219409,0.0232083333333333,416,592,405,590,241,632,400
3,17,9.3316052582855,22.9957415293464,8.40585076837623,19.4408442880948,7.01721903351231,21.9774115904462,10.8313275319385,0.0269230769230769,0.0409090909090909,0.0262731481481482,0.0366108786610878,0.0242948717948718,0.0397255689424364,0.0296352583586626,312,506,288,478,260,498,329
3,18,8.66506202555082,23.6993149416775,9.60933160525829,18.6446954267728,6.12849472319941,22.5698944639881,10.6646917237549,0.024,0.0368451352907311,0.0241620111731844,0.032029262086514,0.0220666666666667,0.0376234567901234,0.0259459459459459,325,579,358,524,250,540,370
3,19,9.53527124606554,23.0142566191446,9.81299759303833,19.2927235697093,4.90649879651916,22.6624699129791,10.7572671727458,0.0219522591645354,0.0297226207556193,0.0220282626766417,0.0272632129774987,0.0190373563218391,0.0293103448275862,0.0231105807478122,391,697,401,637,232,696,419
3,20,8.97981855211998,24.551009072394,8.36882058877986,18.4039992593964,8.12812442140344,20.459174226995,11.1090538789113,0.0229640151515151,0.0367720465890183,0.0225548902195609,0.0306223043746149,0.0226522187822497,0.0311092342342342,0.0255754475703325,352,601,334,541,323,592,391
3,21,8.23921496019256,22.75504536197,8.85021292353268,20.0148120718385,6.6469172375486,21.6071097944825,11.8866876504351,0.0236954206602769,0.0335792349726776,0.0238522954091816,0.0331188725490196,0.0220787207872079,0.0339441535776614,0.0262254901960784,313,610,334,544,271,573,408
3,22,8.96130346232179,23.6252545824847,8.99833364191816,19.3482688391039,7.38752082947602,21.2923532679133,10.3684502869839,0.0248971193415638,0.0404309252217997,0.0241791044776119,0.0340169270833333,0.0255769230769231,0.0352977286678944,0.0260707635009311,324,526,335,512,260,543,358
3,23,9.18348453990002,24.9398259581559,9.44269579707462,17.95963710424,5.92482873541937,20.255508239215,12.2940196259952,0.02277318640955,0.0348602484472049,0.0236768802228412,0.0281649245063879,0.0198265179677819,0.0304396215915414,0.0256172839506173,363,644,359,574,269,599,432
3,24,8.5724865765599,21.4219588965006,9.55378633586373,18.5336048879837,7.12830957230143,21.9403814108498,12.8494723199408,0.0228981206726014,0.0329629629629629,0.0240896358543417,0.02984496124031,0.0229166666666667,0.03393470790378,0.0256467110125646,337,585,357,559,280,582,451
3,25,8.64654693575264,23.2364376967228,9.79448250324014,18.2743936308091,6.68394741714497,22.0329568598408,11.3127198666914,0.0243229166666667,0.0363136574074074,0.0260848126232742,0.0327689243027888,0.0244579945799458,0.0365928659286592,0.0267982456140351,320,576,338,502,246,542,380
3,26,8.12812442140344,22.75504536197,7.73930753564155,18.6261803369746,8.72060729494538,23.4030735049065,10.6276615441585,0.0280332056194125,0.0473056197074672,0.0295197740112994,0.0449508489722967,0.0314,0.049452269170579,0.0318888888888889,261,433,236,373,250,426,300
3,27,8.40585076837623,22.6624699129791,9.96111831142381,18.9039066839474,7.60970190705425,22.3106832068136,10.1462692094057,0.023869610935857,0.0346349745331069,0.0244990892531876,0.029542824074074,0.0223127035830619,0.0345074455899198,0.0228333333333333,317,589,366,576,307,582,400
3,28,8.01703388261433,21.6811701536752,8.59100166635808,20.9220514719496,6.6469172375486,25.0324014071468,9.10942418070728,0.0247146118721461,0.0388005301524188,0.027039627039627,0.037146614069691,0.0246227709190672,0.0437540453074433,0.0253086419753086,292,503,286,507,243,515,324
3,29,8.53545639696353,23.0142566191446,10.2203295685984,19.7000555452694,7.10979448250324,24.051101647843,7.36900573967784,0.0249458874458875,0.0380821078431372,0.0265895953757225,0.0349081364829396,0.023021582733813,0.0377177700348432,0.0231126596980256,308,544,346,508,278,574,287
3,30,9.12793927050546,24.1436770968339,9.68339196445103,18.3854841695982,7.9244584336234,21.4219588965006,9.27605998889095,0.023210922787194,0.0426981008513425,0.0249047619047619,0.03232421875,0.0233115468409586,0.0361788617886178,0.025,354,509,350,512,306,533,334
3,31,7.12830957230143,23.4030735049065,11.9607480096278,18.1077578226254,7.05424921310868,22.1625624884281,10.1647842992039,0.0205005324813631,0.0384428223844282,0.0250387596899225,0.0293165467625899,0.0212374581939799,0.0338709677419354,0.0260683760683761,313,548,430,556,299,589,351
3,32,9.77596741344196,23.1623773375301,6.16552490279578,22.8476208109609,5.61007220885021,21.6256248842807,10.8128124421403,0.0232804232804233,0.0353389830508474,0.0223790322580645,0.0330123060460139,0.020954356846473,0.0324444444444444,0.0243333333333333,378,590,248,623,241,600,400
3,33,7.27643029068691,23.0698018885392,9.53527124606554,19.3482688391039,5.85076837622662,23.1623773375301,11.7385669320496,0.02046875,0.0303606237816764,0.023011617515639,0.0268361581920904,0.0196517412935323,0.03,0.0232745961820851,320,684,373,649,268,695,454
3,34,10.1277541196075,22.7735604517682,9.27605998889095,18.7002406961674,7.33197556008147,21.4960192556934,10.2943899277911,0.0254655493482309,0.0389733840304182,0.0232590529247911,0.0323717948717948,0.0238267148014441,0.0359665427509293,0.0255985267034991,358,526,359,520,277,538,362
3,35,8.96130346232179,22.8105906313646,9.12793927050546,18.3299389002037,7.57267172745788,21.5515645250879,11.6274763932605,0.0245187436676798,0.0383084577114427,0.0269398907103825,0.0343035343035343,0.0235870818915802,0.0354661791590493,0.0268376068376068,329,536,305,481,289,547,390
3,36,9.31309016848732,22.6624699129791,8.0540640622107,20.0518422514349,6.35067580077763,22.7920755415664,10.775782262544,0.023158379373849,0.0349914236706689,0.0215773809523809,0.0328181818181818,0.0220720720720721,0.0335788325150027,0.0258666666666667,362,583,336,550,259,611,375
3,37,8.07257915200889,23.1623773375301,10.2203295685984,18.6261803369746,5.70264765784114,24.0696167376412,10.1462692094057,0.0247165532879819,0.0395635673624288,0.0291139240506329,0.0344284736481861,0.0227138643067847,0.0391802290536467,0.0267056530214425,294,527,316,487,226,553,342
3,38,8.5724865765599,23.551194223292,9.4612108868728,19.2927235697093,7.48009627846695,21.255323088317,10.3684502869839,0.0244198312236287,0.0391866913123844,0.0272970085470086,0.0324610591900311,0.0245742092457421,0.0356965174129353,0.0268199233716475,316,541,312,535,274,536,348
