group,subject,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Duration_1,Duration_2,Duration_3,Duration_4,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4
1,1,25.0728862973761,27.1970012494794,23.8234069137859,23.9067055393586,0.0508445945945946,0.0531758957654723,0.0539622641509434,0.0496539792387543,296,307,265,289
1,2,21.5743440233236,24.1566014160766,28.5714285714286,25.6976259891712,0.0605140186915888,0.0650224215246637,0.0758849557522124,0.0642708333333333,214,223,226,240
1,3,24.1149521032903,26.905456059975,28.4048313202832,20.5747605164515,0.0608193277310924,0.0696120689655172,0.0811904761904762,0.0553811659192825,238,232,210,223
1,4,25.1145356101624,25.1978342357351,27.1970012494794,22.4906289046231,0.0605421686746988,0.0558118081180812,0.0625478927203065,0.0569620253164557,249,271,261,237
1,5,25.6559766763848,24.8229904206581,25.6143273635985,23.9067055393586,0.054416961130742,0.0532142857142857,0.0571561338289963,0.0523722627737226,283,280,269,274
1,6,27.7384423157018,23.2819658475635,26.1974177426072,22.7821740941274,0.0605454545454545,0.0508181818181818,0.0714772727272727,0.0488392857142857,275,275,220,280
1,7,27.030403998334,22.6155768429821,26.7388588088297,23.6151603498542,0.0631322957198443,0.0540836653386454,0.0806532663316583,0.063,257,251,199,225
1,8,22.7405247813411,24.4897959183673,27.3219491878384,25.4477301124531,0.0535294117647058,0.0578740157480315,0.0621212121212121,0.05966796875,255,254,264,256
1,9,25.6559766763848,26.9471053727613,24.7396917950854,22.6572261557684,0.0540350877192982,0.0520096463022508,0.0575581395348837,0.0482269503546099,285,311,258,282
1,10,29.5293627655144,21.1162015826739,26.0724698042482,23.2819658475635,0.0656481481481481,0.0499015748031496,0.0606589147286821,0.0497330960854092,270,254,258,281
1,11,25.8642232403165,21.3244481466056,24.6563931695127,28.1549354435652,0.053167808219178,0.0475836431226766,0.0552238805970149,0.0599290780141844,292,269,268,282
1,12,23.7401082882132,25.4893794252395,27.4885464389838,23.2819658475635,0.0556640625,0.0662337662337662,0.0681818181818182,0.0552371541501976,256,231,242,253
1,13,23.0737192836318,28.1965847563515,27.5718450645564,21.1578508954602,0.0551792828685259,0.0633895131086142,0.0656746031746032,0.0564444444444444,251,267,252,225
1,14,26.4056643065389,25.5310287380258,26.5722615576843,21.4910453977509,0.0568100358422939,0.0528448275862069,0.0563604240282685,0.0486792452830188,279,290,283,265
1,15,23.2403165347772,27.6967930029155,27.7800916284881,21.2827988338192,0.053041825095057,0.0622659176029962,0.0675101214574899,0.0541313559322034,263,267,247,236
