group,subject,Time_coverage_1,Time_coverage_2,Time_coverage_3,Duration_1,Duration_2,Duration_3,Occurrence_1,Occurrence_2,Occurrence_3
1,1,34.3190337359434,32.0283215326947,33.6526447313619,0.0738351254480287,0.0597049689440994,0.0602985074626866,279,322,335
1,2,40.9412744689713,31.2369845897543,27.8217409412745,0.110698198198198,0.0804721030042918,0.0665338645418326,222,233,251
1,3,38.5256143273636,32.1116201582674,29.362765514369,0.091765873015873,0.0713888888888889,0.0672709923664122,252,270,262
1,4,36.5264473136193,31.9033735943357,31.570179092045,0.0780249110320285,0.0681494661921708,0.0644557823129252,281,281,294
1,5,35.5685131195335,31.8617242815494,32.5697625989171,0.0645015105740181,0.0616935483870968,0.0601538461538461,331,310,325
1,6,34.8188254893794,34.152436484798,31.0287380258226,0.0806949806949807,0.0721830985915493,0.0600806451612903,259,284,310
1,7,34.7355268638067,35.4019158683882,29.8625572678051,0.0861570247933884,0.0761648745519713,0.0668843283582089,242,279,268
1,8,40.5247813411079,30.4039983340275,29.0712203248646,0.0841695501730104,0.0649466192170819,0.060801393728223,289,281,287
1,9,34.1940857975843,32.0283215326947,33.777592669721,0.0657852564102564,0.061031746031746,0.0608858858858859,312,315,333
1,10,36.484798000833,37.0678883798417,26.4473136193253,0.0793478260869565,0.0827137546468402,0.056095406360424,276,269,283
1,11,38.3590170762182,33.1528529779259,28.4881299458559,0.0728639240506329,0.0667785234899329,0.0536050156739812,316,298,319
1,12,37.5676801332778,32.2782174094127,30.1541024573095,0.0863984674329502,0.0656779661016949,0.0658181818181818,261,295,275
1,13,37.7759266972095,30.9870887130362,31.2369845897543,0.079006968641115,0.063265306122449,0.0625,287,294,300
1,14,35.9850062473969,33.1112036651395,30.9037900874636,0.071523178807947,0.0664715719063545,0.0585173501577287,302,299,317
1,15,37.5260308204915,29.5293627655144,32.9446064139942,0.0853219696969697,0.0611206896551724,0.0663590604026846,264,290,298
1,16,36.85964181591,29.487713452728,33.6526447313619,0.0793010752688172,0.0650735294117647,0.0726618705035971,279,272,278
1,17,32.1532694710537,39.0254060807997,28.8213244481466,0.0778225806451613,0.0890684410646388,0.0683794466403162,248,263,253
1,18,33.2361516034985,38.4423157017909,28.3215326947105,0.0741635687732342,0.102555555555556,0.0669291338582677,269,225,254
1,19,38.9837567680133,34.152436484798,26.8638067471887,0.0947368421052632,0.0764925373134328,0.0639880952380952,247,268,252
1,20,32.0283215326947,34.4439816743024,33.5276967930029,0.0730988593155894,0.0760110294117647,0.0729166666666667,263,272,276
1,21,35.7351103706789,33.1945022907122,31.0703873386089,0.0742214532871973,0.0664166666666666,0.0623745819397993,289,300,299
1,22,38.0674718867139,32.2782174094127,29.6543107038734,0.0761666666666667,0.0611198738170347,0.0557993730407523,300,317,319
1,23,37.7759266972095,32.0699708454811,30.1541024573095,0.0896245059288538,0.0707720588235294,0.0595394736842105,253,272,304
1,24,38.3173677634319,32.4448146605581,29.23781757601,0.0871212121212122,0.0693060498220641,0.0635869565217391,264,281,276
1,25,36.0683048729696,32.2782174094127,31.6534777176177,0.0575797872340425,0.0530821917808219,0.0536723163841808,376,365,354
1,26,37.1511870054144,34.0691378592253,28.7796751353603,0.0774305555555556,0.0663961038961039,0.0575833333333333,288,308,300
1,27,37.0262390670554,32.6530612244898,30.3206997084548,0.0753389830508475,0.0651162790697674,0.0570532915360501,295,301,319
1,28,36.609745939192,29.8625572678051,33.5276967930029,0.0915625,0.07001953125,0.0756578947368421,240,256,266
1,29,40.6913785922532,34.6938775510204,24.6147438567264,0.0921698113207547,0.0794847328244275,0.0531474820143885,265,262,278
1,30,37.2761349437734,31.3202832153269,31.4035818408996,0.0598262032085561,0.0552941176470588,0.0561011904761905,374,340,336
2,1,33.8608912952936,31.1953352769679,34.9437734277384,0.0589130434782609,0.0536532951289398,0.063368580060423,345,349,331
2,2,35.8184089962516,32.0699708454811,32.1116201582674,0.0814393939393939,0.0707720588235294,0.0716542750929368,264,272,269
2,3,36.734693877551,32.7363598500625,30.5289462723865,0.0732558139534884,0.0677586206896552,0.0627568493150685,301,290,292
2,4,37.8175760099958,30.7788421491045,31.4035818408996,0.0759197324414716,0.0628401360544218,0.0641156462585034,299,294,294
2,5,35.2769679300292,32.2365680966264,32.4864639733444,0.0619152046783626,0.0579341317365269,0.0563583815028902,342,334,346
2,6,35.8184089962516,32.9862557267805,31.1953352769679,0.0678233438485804,0.0585798816568047,0.059256329113924,317,338,316
2,7,35.7351103706789,33.3610995418576,30.9037900874636,0.0719798657718121,0.0616153846153846,0.0574303405572755,298,325,323
2,8,34.3606830487297,31.0287380258226,34.6105789254477,0.0619369369369369,0.0515927977839335,0.0577083333333333,333,361,360
2,9,35.0687213660975,35.8184089962516,29.112869637651,0.0701666666666667,0.0641791044776119,0.0506521739130434,300,335,345
2,10,35.6101624323199,35.7351103706789,28.6547271970013,0.0734536082474227,0.0828185328185328,0.0597222222222222,291,259,288
2,11,35.8600583090379,33.3610995418576,30.7788421491045,0.0654255319148936,0.0635714285714286,0.0533959537572254,329,315,346
