group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Time_coverage_7,Time_coverage_8,Time_coverage_9,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Duration_7,Duration_8,Duration_9,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6,Occurrence_7,Occurrence_8,Occurrence_9
2,1,12000058,11.3579561232991,15.1346848097751,9.96945292974174,8.88642043876701,14.5237434046098,8.9975006942516,10.2471535684532,5.72063315745626,15.1624548736462,0.0480046948356807,0.0468213058419244,0.0425355450236967,0.0506329113924051,0.0506782945736434,0.0409090909090909,0.0433098591549296,0.0396153846153846,0.0564049586776859,213,291,211,158,258,198,213,130,242
2,2,12000070,13.8294918078312,13.3574007220217,7.99777839489031,11.4690363787837,13.7739516800889,10.4970841432935,12.3576784226604,6.72035545681755,9.94168286587059,0.0369436201780415,0.0349563953488372,0.0327272727272727,0.0385261194029851,0.0366863905325443,0.0352611940298507,0.0372073578595317,0.0330601092896175,0.0325454545454545,337,344,220,268,338,268,299,183,275
2,3,12000104,14.3848930852541,10.7192446542627,8.96973063038045,9.830602610386,14.8847542349347,10.969175229103,8.9419605665093,8.63648986392669,12.663149125243,0.0530737704918033,0.0419565217391304,0.0429521276595744,0.0475806451612903,0.0496296296296296,0.0414915966386554,0.0414948453608247,0.0454678362573099,0.0478991596638655,244,230,188,186,270,238,194,171,238
2,4,12000126,13.0797000833102,16.8841988336573,8.66425992779783,9.99722299361289,9.33074146070536,9.77506248264371,11.8022771452374,7.22021660649819,13.2185504026659,0.051195652173913,0.051877133105802,0.0440677966101695,0.046875,0.0432989690721649,0.0423076923076923,0.046806167400881,0.040625,0.0468503937007874,230,293,177,192,194,208,227,160,254
2,5,12000182,13.3018605942794,16.0788669813941,8.9419605665093,8.38655928908637,14.5792835323521,7.91446820327687,10.7192446542627,6.22049430713691,13.8572618717023,0.0507415254237288,0.0399861878453038,0.0414948453608247,0.0385204081632653,0.0446428571428571,0.0378989361702128,0.0434684684684684,0.0383561643835616,0.0465485074626865,236,362,194,196,294,188,222,146,268
2,6,12000216,13.9405720633157,14.1905026381561,6.97028603165787,9.05304082199389,15.8011663426826,9.96945292974174,11.6911968897528,7.27575673424049,11.1080255484588,0.0514344262295082,0.0449823943661971,0.0410130718954248,0.0417948717948718,0.0528810408921933,0.0415509259259259,0.0457608695652174,0.0387573964497041,0.0403225806451613,244,284,153,195,269,216,230,169,248
2,7,12000238,12.1077478478201,14.9958344904193,7.30352679811164,8.33101916134407,12.4965287420161,10.9969452929742,15.8011663426826,8.38655928908637,9.58067203554568,0.0539603960396039,0.0444078947368421,0.0426948051948052,0.0443786982248521,0.0453629032258064,0.0478260869565217,0.0580612244897959,0.046319018404908,0.0418689320388349,202,304,154,169,248,207,245,163,206
2,8,12000294,14.3848930852541,15.1902249375174,8.21993890585948,9.30297139683421,11.9966675923355,11.2468758678145,11.8300472091086,8.41432935295751,9.4140516523188,0.0507843137254902,0.0452814569536424,0.0404371584699453,0.0465277777777778,0.0495412844036697,0.0432692307692307,0.0453191489361702,0.0411684782608696,0.0390552995391705,255,302,183,180,218,234,235,184,217
2,9,12000339,11.4968064426548,14.9125242988059,6.99805609552902,8.74757011941128,14.5237434046098,11.913357400722,12.8019994445987,8.9975006942516,9.60844209941683,0.0390566037735849,0.0396017699115044,0.0357954545454545,0.0361238532110092,0.0419070512820512,0.0385791366906474,0.0381622516556291,0.0355263157894737,0.0358921161825726,265,339,176,218,312,278,302,228,241
2,10,12000362,13.6628714246043,13.1907803387948,8.49763954457095,5.91502360455429,17.5506803665648,11.1357956123299,12.9686198278256,8.02554845876145,9.05304082199389,0.0546666666666666,0.0434981684981685,0.0418032786885246,0.0419291338582677,0.055438596491228,0.0453619909502262,0.0496808510638297,0.0417630057803468,0.0384433962264151,225,273,183,127,285,221,235,173,212
2,11,12000373,15.5234657039711,16.2177173007498,7.19244654262705,7.88669813940572,16.8564287697862,8.35878922521522,10.4415440155512,5.47070258261594,12.0522077200778,0.0559,0.0463492063492063,0.0380882352941176,0.044375,0.0484824281150159,0.0393979057591623,0.0414096916299559,0.0390873015873016,0.0417307692307692,250,315,170,160,313,191,227,126,260
2,12,12000384,14.7736739794502,14.2182727020272,9.19189114134963,9.05304082199389,13.5795612329908,10.1916134407109,11.4968064426548,7.60899750069425,9.8861427381283,0.0517509727626459,0.0450704225352112,0.0464887640449438,0.0476608187134503,0.047568093385214,0.0422811059907834,0.0476958525345622,0.0417682926829268,0.0410138248847926,257,284,178,171,257,217,217,164,217
2,13,12000463,11.3579561232991,12.663149125243,8.63648986392669,10.5248542071647,13.6351013607331,11.1913357400722,13.2463204665371,7.41460705359622,11.2746459316856,0.0370471014492753,0.038,0.0366745283018868,0.0380522088353413,0.0411912751677852,0.0401394422310757,0.0380990415335463,0.034765625,0.0373161764705882,276,300,212,249,298,251,313,192,272
2,14,12000485,13.2463204665371,16.4121077478478,7.19244654262705,9.46959178006109,11.4968064426548,11.2746459316856,13.7739516800889,6.99805609552902,10.1360733129686,0.0385922330097087,0.0386780104712042,0.0346256684491979,0.03875,0.0404296875,0.0365107913669065,0.0424657534246575,0.0335106382978723,0.0341760299625468,309,382,187,220,256,278,292,188,267
2,15,12000519,12.3576784226604,15.8011663426826,11.6078866981394,8.33101916134407,16.3287975562344,9.08081088586504,9.8861427381283,7.30352679811164,9.27520133296307,0.0512672811059908,0.0480574324324324,0.0464444444444444,0.0398936170212766,0.0480392156862745,0.0376728110599078,0.0454081632653061,0.0371468926553672,0.0393867924528302,217,296,225,188,306,217,196,177,212
2,16,12000520,14.7181338517079,14.1905026381561,7.44237711746737,11.8578172729797,13.3296306581505,8.63648986392669,12.9963898916968,7.05359622327131,9.77506248264371,0.0403963414634146,0.0404272151898734,0.0364130434782609,0.0458154506437768,0.0392156862745098,0.0333690987124463,0.0387417218543046,0.0335978835978836,0.0368200836820083,328,316,184,233,306,233,302,189,239
2,17,12000542,11.6911968897528,19.3835045820605,7.97000833101916,10.774784782005,13.051930019439,7.99777839489031,11.3857261871702,8.46986948069981,9.24743126909192,0.0385531135531135,0.0439546599496221,0.0344951923076923,0.0411016949152542,0.0409407665505226,0.0328767123287671,0.0375457875457875,0.0364832535885167,0.0366740088105727,273,397,208,236,287,219,273,209,227
